2017-02-02T19:24:23.5937500Z|Program_Name_Editing|NIST_MTC_CRADA_PLATE-15.NC
2017-02-02T19:24:28.2500000Z|Block_Number|0
2017-02-02T19:24:32.6718750Z|Block_Number|12
2017-02-02T19:24:32.6875000Z|Program_Status|ACTIVE
2017-02-02T19:24:32.7656250Z|Program_Name_Running|NIST_MTC_CRADA_PLATE-15.NC
2017-02-02T19:24:32.7968750Z|Program_Runtime_Seconds|1080
2017-02-02T19:24:32.8125000Z|Program_Runtime_Seconds|0
2017-02-02T19:24:32.8437500Z|Spindle_Speed|248.880040
2017-02-02T19:24:33.4218750Z|Spindle_Speed|0.000000
2017-02-02T19:24:33.5625000Z|Program_Runtime_Seconds|1
2017-02-02T19:24:34.0156250Z|Feed_Rate|192.583333333333
2017-02-02T19:24:34.1718750Z|Feed_Rate|205.366666666667
2017-02-02T19:24:34.6562500Z|Program_Runtime_Seconds|2
2017-02-02T19:24:35.6406250Z|Program_Runtime_Seconds|3
2017-02-02T19:24:36.6093750Z|Program_Runtime_Seconds|4
2017-02-02T19:24:36.7812500Z|Feed_Rate|77.5
2017-02-02T19:24:36.9375000Z|Feed_Rate|0
2017-02-02T19:24:37.1250000Z|Feed_Rate|40.1166666666667
2017-02-02T19:24:37.2656250Z|Feed_Rate|227.45
2017-02-02T19:24:37.4218750Z|Feed_Rate|67.1166666666667
2017-02-02T19:24:37.5937500Z|Feed_Rate|0
2017-02-02T19:24:37.6093750Z|Program_Runtime_Seconds|5
2017-02-02T19:24:38.6250000Z|Program_Runtime_Seconds|6
2017-02-02T19:24:39.6406250Z|Program_Runtime_Seconds|7
2017-02-02T19:24:40.5625000Z|Program_Runtime_Seconds|8
2017-02-02T19:24:40.5937500Z|Current_Tool|0.000000
2017-02-02T19:24:41.2031250Z|Current_Tool|7.000000
2017-02-02T19:24:41.5937500Z|Program_Runtime_Seconds|9
2017-02-02T19:24:42.3281250Z|Block_Number|13
2017-02-02T19:24:42.4843750Z|Feed_Rate|211.666666666667
2017-02-02T19:24:42.5156250Z|Spindle_Speed|124.440020
2017-02-02T19:24:42.6562500Z|Program_Runtime_Seconds|10
2017-02-02T19:24:42.6718750Z|Spindle_Speed|750.000000
2017-02-02T19:24:43.4531250Z|Feed_Rate|197.35
2017-02-02T19:24:43.6250000Z|Block_Number|14
2017-02-02T19:24:43.6406250Z|Feed_Rate|91.7833333333333
2017-02-02T19:24:43.6562500Z|Program_Runtime_Seconds|11
