2017-02-08T12:41:51.0312500Z|Program_Name_Editing|NIST_MTC_CRADA_BOX_REV-A_OP3.NC
2017-02-08T12:41:55.1875000Z|Block_Number|0
2017-02-08T12:41:58.8281250Z|Block_Number|8
2017-02-08T12:41:58.8593750Z|Program_Status|ACTIVE
2017-02-08T12:41:58.8750000Z|Program_Runtime_Seconds|301
2017-02-08T12:41:58.8906250Z|Program_Runtime_Seconds|1
2017-02-08T12:41:59.0000000Z|Feed_Rate|406.016666666667
2017-02-08T12:41:59.1718750Z|Feed_Rate|493.716666666667
2017-02-08T12:41:59.3281250Z|Feed_Rate|583.1
2017-02-08T12:41:59.6562500Z|Program_Runtime_Seconds|2
2017-02-08T12:41:59.8281250Z|Feed_Rate|541.133333333333
2017-02-08T12:42:00.0000000Z|Feed_Rate|397.766666666667
2017-02-08T12:42:00.1718750Z|Feed_Rate|1.36666666666667
2017-02-08T12:42:00.3437500Z|Feed_Rate|104.916666666667
2017-02-08T12:42:00.5000000Z|Feed_Rate|194.116666666667
2017-02-08T12:42:00.6562500Z|Feed_Rate|96.8166666666667
2017-02-08T12:42:00.6718750Z|Program_Runtime_Seconds|3
2017-02-08T12:42:00.8281250Z|Feed_Rate|0
2017-02-08T12:42:01.7187500Z|Program_Runtime_Seconds|4
2017-02-08T12:42:02.7343750Z|Program_Runtime_Seconds|5
2017-02-08T12:42:03.1250000Z|Current_Tool|0.000000
2017-02-08T12:42:03.5000000Z|Program_Runtime_Seconds|6
2017-02-08T12:42:03.8437500Z|Current_Tool|3.000000
2017-02-08T12:42:04.5625000Z|Program_Runtime_Seconds|7
2017-02-08T12:42:04.8593750Z|Block_Number|9
2017-02-08T12:42:05.1718750Z|Feed_Rate|534.966666666667
2017-02-08T12:42:05.1875000Z|Spindle_Speed|497.760080
2017-02-08T12:42:05.3437500Z|Feed_Rate|687.15
2017-02-08T12:42:05.3593750Z|Spindle_Speed|1493.280239
2017-02-08T12:42:05.5000000Z|Feed_Rate|686.983333333333
2017-02-08T12:42:05.5156250Z|Spindle_Speed|2737.680438
2017-02-08T12:42:05.6562500Z|Feed_Rate|597.616666666667
2017-02-08T12:42:05.6875000Z|Program_Runtime_Seconds|8
2017-02-08T12:42:05.7031250Z|Spindle_Speed|4106.520657
2017-02-08T12:42:05.8281250Z|Block_Number|10
2017-02-08T12:42:05.8437500Z|Feed_Rate|88.4
2017-02-08T12:42:05.8593750Z|Spindle_Speed|4728.720757
2017-02-08T12:42:05.9843750Z|Feed_Rate|0
2017-02-08T12:42:06.0000000Z|Spindle_Speed|5973.120956
2017-02-08T12:42:06.1562500Z|Spindle_Speed|6595.321055
2017-02-08T12:42:06.2656250Z|Spindle_Speed|7217.521155
2017-02-08T12:42:06.4062500Z|Spindle_Speed|8586.361374
2017-02-08T12:42:06.5468750Z|Spindle_Speed|9208.561473
2017-02-08T12:42:06.6718750Z|Program_Runtime_Seconds|9
2017-02-08T12:42:06.6718750Z|Spindle_Speed|9830.761573
2017-02-08T12:42:06.7968750Z|Spindle_Speed|11075.161772
2017-02-08T12:42:06.9062500Z|Spindle_Speed|11697.361872
2017-02-08T12:42:07.0468750Z|Spindle_Speed|12000.000000
2017-02-08T12:42:07.6562500Z|Program_Runtime_Seconds|10
2017-02-08T12:42:08.6718750Z|Program_Runtime_Seconds|11
2017-02-08T12:42:09.6562500Z|Program_Runtime_Seconds|12
2017-02-08T12:42:10.6562500Z|Program_Runtime_Seconds|13
2017-02-08T12:42:11.6562500Z|Program_Runtime_Seconds|14
2017-02-08T12:42:12.0781250Z|Feed_Rate|153.183333333333
2017-02-08T12:42:12.2187500Z|Feed_Rate|435.75
2017-02-08T12:42:12.3593750Z|Feed_Rate|500.016666666667
2017-02-08T12:42:12.5312500Z|Feed_Rate|500
2017-02-08T12:42:12.6875000Z|Feed_Rate|499.2
2017-02-08T12:42:12.7031250Z|Program_Runtime_Seconds|15
2017-02-08T12:42:12.8437500Z|Block_Number|11
2017-02-08T12:42:12.8593750Z|Feed_Rate|8.58333333333333
2017-02-08T12:42:13.0156250Z|Block_Number|12
2017-02-08T12:42:13.0468750Z|Feed_Rate|9.41666666666667
2017-02-08T12:42:13.1875000Z|Block_Number|13
2017-02-08T12:42:13.2031250Z|Feed_Rate|8.9
2017-02-08T12:42:13.3750000Z|Block_Number|17
2017-02-08T12:42:13.3906250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:13.5625000Z|Block_Number|22
2017-02-08T12:42:13.5781250Z|Feed_Rate|12.4166666666667
2017-02-08T12:42:13.7500000Z|Block_Number|27
2017-02-08T12:42:13.7656250Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:13.7812500Z|Program_Runtime_Seconds|16
2017-02-08T12:42:13.9843750Z|Block_Number|31
2017-02-08T12:42:14.1093750Z|Feed_Rate|12.0166666666667
2017-02-08T12:42:14.1406250Z|Block_Number|33
2017-02-08T12:42:14.1562500Z|Feed_Rate|12.2333333333333
2017-02-08T12:42:14.3125000Z|Block_Number|38
2017-02-08T12:42:14.3125000Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:14.5156250Z|Block_Number|43
2017-02-08T12:42:14.6875000Z|Block_Number|47
2017-02-08T12:42:14.7031250Z|Feed_Rate|12.7
2017-02-08T12:42:14.7343750Z|Program_Runtime_Seconds|17
2017-02-08T12:42:14.8750000Z|Block_Number|52
2017-02-08T12:42:14.8906250Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:15.0625000Z|Block_Number|57
2017-02-08T12:42:15.0781250Z|Feed_Rate|12.65
2017-02-08T12:42:15.2500000Z|Block_Number|61
2017-02-08T12:42:15.2656250Z|Feed_Rate|12.25
2017-02-08T12:42:15.4375000Z|Block_Number|66
2017-02-08T12:42:15.4531250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:15.6250000Z|Block_Number|68
2017-02-08T12:42:15.6406250Z|Feed_Rate|12.65
2017-02-08T12:42:15.6562500Z|Program_Runtime_Seconds|18
2017-02-08T12:42:15.8125000Z|Block_Number|73
2017-02-08T12:42:15.8125000Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:16.0000000Z|Block_Number|77
2017-02-08T12:42:16.0156250Z|Feed_Rate|12.2333333333333
2017-02-08T12:42:16.1875000Z|Block_Number|82
2017-02-08T12:42:16.2031250Z|Feed_Rate|12.65
2017-02-08T12:42:16.3750000Z|Block_Number|87
2017-02-08T12:42:16.3906250Z|Feed_Rate|12.5166666666667
2017-02-08T12:42:16.5625000Z|Block_Number|91
2017-02-08T12:42:16.5781250Z|Feed_Rate|12.7
2017-02-08T12:42:16.7500000Z|Block_Number|96
2017-02-08T12:42:16.7656250Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:16.7812500Z|Program_Runtime_Seconds|19
2017-02-08T12:42:16.9375000Z|Block_Number|101
2017-02-08T12:42:17.1093750Z|Block_Number|103
2017-02-08T12:42:17.1250000Z|Feed_Rate|12.5666666666667
2017-02-08T12:42:17.2812500Z|Block_Number|107
2017-02-08T12:42:17.3125000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:17.4843750Z|Block_Number|112
2017-02-08T12:42:17.5000000Z|Feed_Rate|11.6666666666667
2017-02-08T12:42:17.6562500Z|Block_Number|117
2017-02-08T12:42:17.6875000Z|Feed_Rate|12.7
2017-02-08T12:42:17.7031250Z|Program_Runtime_Seconds|20
2017-02-08T12:42:17.8437500Z|Block_Number|121
2017-02-08T12:42:17.8750000Z|Feed_Rate|12.6166666666667
2017-02-08T12:42:18.0312500Z|Block_Number|126
2017-02-08T12:42:18.0468750Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:18.2187500Z|Block_Number|131
2017-02-08T12:42:18.2500000Z|Feed_Rate|12.1333333333333
2017-02-08T12:42:18.4218750Z|Block_Number|133
2017-02-08T12:42:18.4375000Z|Feed_Rate|12.1166666666667
2017-02-08T12:42:18.5937500Z|Block_Number|138
2017-02-08T12:42:18.6250000Z|Feed_Rate|12.65
2017-02-08T12:42:18.6406250Z|Program_Runtime_Seconds|21
2017-02-08T12:42:18.7812500Z|Block_Number|142
2017-02-08T12:42:18.8125000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:19.0312500Z|Block_Number|147
2017-02-08T12:42:19.1562500Z|Feed_Rate|12.7
2017-02-08T12:42:19.1875000Z|Block_Number|151
2017-02-08T12:42:19.2031250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:19.3437500Z|Block_Number|156
2017-02-08T12:42:19.3750000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:19.5312500Z|Block_Number|161
2017-02-08T12:42:19.5468750Z|Feed_Rate|12.0833333333333
2017-02-08T12:42:19.7187500Z|Block_Number|165
2017-02-08T12:42:19.7500000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:19.7500000Z|Program_Runtime_Seconds|22
2017-02-08T12:42:19.9062500Z|Block_Number|168
2017-02-08T12:42:19.9375000Z|Feed_Rate|12.6
2017-02-08T12:42:20.1093750Z|Block_Number|172
2017-02-08T12:42:20.1250000Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:20.2968750Z|Block_Number|177
2017-02-08T12:42:20.4843750Z|Block_Number|181
2017-02-08T12:42:20.5000000Z|Feed_Rate|12.65
2017-02-08T12:42:20.6562500Z|Block_Number|186
2017-02-08T12:42:20.6875000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:20.6875000Z|Program_Runtime_Seconds|23
2017-02-08T12:42:20.8437500Z|Block_Number|191
2017-02-08T12:42:20.8750000Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:21.0312500Z|Block_Number|195
2017-02-08T12:42:21.0468750Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:21.2187500Z|Block_Number|200
2017-02-08T12:42:21.4062500Z|Block_Number|202
2017-02-08T12:42:21.4375000Z|Feed_Rate|12.6166666666667
2017-02-08T12:42:21.5937500Z|Block_Number|207
2017-02-08T12:42:21.6250000Z|Feed_Rate|12.65
2017-02-08T12:42:21.6406250Z|Program_Runtime_Seconds|24
2017-02-08T12:42:21.7812500Z|Block_Number|211
2017-02-08T12:42:21.8125000Z|Feed_Rate|11.6
2017-02-08T12:42:21.9687500Z|Block_Number|216
2017-02-08T12:42:22.0000000Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:22.1562500Z|Block_Number|221
2017-02-08T12:42:22.1875000Z|Feed_Rate|12.0333333333333
2017-02-08T12:42:22.3437500Z|Block_Number|225
2017-02-08T12:42:22.3750000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:22.5468750Z|Block_Number|230
2017-02-08T12:42:22.5625000Z|Feed_Rate|12.65
2017-02-08T12:42:22.7187500Z|Block_Number|232
2017-02-08T12:42:22.7500000Z|Program_Runtime_Seconds|25
2017-02-08T12:42:22.9062500Z|Block_Number|237
2017-02-08T12:42:22.9375000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:23.0937500Z|Block_Number|241
2017-02-08T12:42:23.1093750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:23.2812500Z|Block_Number|246
2017-02-08T12:42:23.4687500Z|Block_Number|251
2017-02-08T12:42:23.5000000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:23.6718750Z|Block_Number|255
2017-02-08T12:42:23.6875000Z|Program_Runtime_Seconds|26
2017-02-08T12:42:23.8437500Z|Block_Number|260
2017-02-08T12:42:23.8593750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:24.0312500Z|Block_Number|265
2017-02-08T12:42:24.0625000Z|Feed_Rate|12.5666666666667
2017-02-08T12:42:24.4062500Z|Block_Number|267
2017-02-08T12:42:24.4218750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:24.4375000Z|Block_Number|272
2017-02-08T12:42:24.5937500Z|Block_Number|276
2017-02-08T12:42:24.6250000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:24.6406250Z|Program_Runtime_Seconds|27
2017-02-08T12:42:24.7812500Z|Block_Number|281
2017-02-08T12:42:24.8125000Z|Feed_Rate|12.65
2017-02-08T12:42:25.0000000Z|Block_Number|285
2017-02-08T12:42:25.0156250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:25.2187500Z|Block_Number|290
2017-02-08T12:42:25.4218750Z|Block_Number|295
2017-02-08T12:42:25.4375000Z|Feed_Rate|12.65
2017-02-08T12:42:25.5937500Z|Block_Number|297
2017-02-08T12:42:25.6093750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:25.6250000Z|Program_Runtime_Seconds|28
2017-02-08T12:42:25.7968750Z|Block_Number|298
2017-02-08T12:42:26.5000000Z|Block_Number|299
2017-02-08T12:42:26.6875000Z|Program_Runtime_Seconds|29
2017-02-08T12:42:26.8437500Z|Feed_Rate|12.7
2017-02-08T12:42:27.0000000Z|Feed_Rate|12.5833333333333
2017-02-08T12:42:27.1718750Z|Block_Number|300
2017-02-08T12:42:27.2031250Z|Feed_Rate|94.45
2017-02-08T12:42:27.3593750Z|Block_Number|301
2017-02-08T12:42:27.3906250Z|Feed_Rate|66.35
2017-02-08T12:42:27.5468750Z|Block_Number|302
2017-02-08T12:42:27.5625000Z|Feed_Rate|11.5666666666667
2017-02-08T12:42:27.7500000Z|Block_Number|303
2017-02-08T12:42:27.7656250Z|Feed_Rate|9.18333333333333
2017-02-08T12:42:27.7812500Z|Program_Runtime_Seconds|30
2017-02-08T12:42:27.9062500Z|Block_Number|304
2017-02-08T12:42:27.9218750Z|Feed_Rate|9.21666666666667
2017-02-08T12:42:28.1093750Z|Block_Number|308
2017-02-08T12:42:28.1093750Z|Feed_Rate|12.7
2017-02-08T12:42:28.2656250Z|Block_Number|313
2017-02-08T12:42:28.2812500Z|Feed_Rate|12.65
2017-02-08T12:42:28.4687500Z|Block_Number|317
2017-02-08T12:42:28.4843750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:28.6562500Z|Block_Number|321
2017-02-08T12:42:28.6718750Z|Feed_Rate|12.65
2017-02-08T12:42:28.6875000Z|Program_Runtime_Seconds|31
2017-02-08T12:42:28.8437500Z|Block_Number|324
2017-02-08T12:42:28.8593750Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:29.0000000Z|Block_Number|328
2017-02-08T12:42:29.0312500Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:29.1875000Z|Block_Number|333
2017-02-08T12:42:29.2187500Z|Feed_Rate|12.5166666666667
2017-02-08T12:42:29.5625000Z|Block_Number|337
2017-02-08T12:42:29.5781250Z|Feed_Rate|12.6333333333333
2017-02-08T12:42:29.6093750Z|Block_Number|341
2017-02-08T12:42:29.7656250Z|Block_Number|346
2017-02-08T12:42:29.7812500Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:29.7968750Z|Program_Runtime_Seconds|32
2017-02-08T12:42:29.9375000Z|Block_Number|350
2017-02-08T12:42:29.9687500Z|Feed_Rate|12.65
2017-02-08T12:42:30.1250000Z|Block_Number|353
2017-02-08T12:42:30.1562500Z|Feed_Rate|12.6333333333333
2017-02-08T12:42:30.3125000Z|Block_Number|357
2017-02-08T12:42:30.3125000Z|Feed_Rate|12.6666666666667
2017-02-08T12:42:30.5000000Z|Block_Number|361
2017-02-08T12:42:30.5156250Z|Feed_Rate|12.6833333333333
2017-02-08T12:42:30.6875000Z|Block_Number|366
2017-02-08T12:42:30.7031250Z|Program_Runtime_Seconds|33
2017-02-08T12:42:30.8750000Z|Block_Number|370
2017-02-08T12:42:30.8750000Z|Feed_Rate|12.3
